counts,value,time
0,0.656,1.2480099201202393
0,0.737,1.9037306308746338
0,0.752,2.6403610706329346
1,0.752,8.46442198753357
2,0.752,18.703856468200684
3,0.752,27.479928731918335
0,0.719,3.392451763153076
0,0.696,4.111825704574585
1,0.696,6.303606986999512
2,0.696,28.232419967651367
0,0.721,4.807560920715332
1,0.721,11.391709089279175
0,0.775,5.528194189071655
1,0.775,24.569000482559204
0,0.736,6.999828338623047
1,0.736,14.328381776809692
2,0.736,15.78389048576355
3,0.736,17.968060970306396
4,0.736,19.456315755844116
0,0.728,7.736048936843872
1,0.728,9.21612811088562
2,0.728,17.239680290222168
3,0.728,20.90396523475647
4,0.728,26.023966550827026
5,0.728,26.75170135498047
0,0.761,9.943946838378906
0,0.687,10.704487085342407
0,0.767,12.112565040588379
0,0.729,12.879628419876099
1,0.729,23.83983039855957
0,0.72,13.608287572860718
1,0.72,15.064202308654785
2,0.72,16.519689321517944
0,0.712,20.192096710205078
0,0.665,21.63163709640503
0,0.856,22.29626441001892
0,0.688,23.152238845825195
0,0.68,25.344345569610596
0,0.76,28.928363800048828
0,0.2,
0,0.3,
0,0.4,
0,0.5,
0,0.6,
0,0.7,
0,0.8,
0,0.9,
0,1.0,
0,1.1,
0,1.2,
