counts,value,time
0,0.752,1.8476736545562744
1,0.752,7.671764135360718
0,0.737,2.5991907119750977
1,0.737,20.871222496032715
0,0.711,3.3357036113739014
0,0.745,4.0470380783081055
0,0.735,4.791825532913208
1,0.735,21.608154296875
0,0.753,5.5269856452941895
0,0.728,6.279537677764893
1,0.728,12.815282344818115
2,0.728,20.143536806106567
3,0.728,27.471532583236694
0,0.665,7.0071187019348145
0,0.76,8.423628330230713
0,0.736,9.18380355834961
1,0.736,11.35927152633667
2,0.736,13.543254852294922
3,0.736,14.999108791351318
4,0.736,16.47971487045288
5,0.736,17.215803623199463
6,0.736,17.951474905014038
7,0.736,19.407633304595947
8,0.736,28.19932746887207
0,0.72,9.91980528831482
1,0.72,10.63969087600708
2,0.72,12.095272541046143
3,0.72,18.687253952026367
4,0.72,22.343493461608887
5,0.72,28.935729503631592
0,0.719,14.279677152633667
0,0.744,15.735301971435547
0,0.712,23.06364369392395
0,0.776,23.77516198158264
1,0.776,26.69584608078003
0,0.688,24.55119299888611
0,0.792,25.23938226699829
0,0.664,26.031818151474
0,0.2,
0,0.3,
0,0.4,
0,0.5,
0,0.6,
0,0.7,
0,0.8,
0,0.9,
0,1.0,
0,1.1,
0,1.2,
